CODIGO_PAIS,Nº_MIGRANTES,CONTINENTE,COMUNA
170,1745,Colombia,Lampa
170,127,Colombia,Tiltil
170,1479,Colombia,San Bernardo
170,577,Colombia,Buin
170,94,Colombia,Calera de Tango
170,221,Colombia,Paine
170,630,Colombia,Melipilla
170,31,Colombia,Alhué
170,118,Colombia,Curacaví
170,28,Colombia,María Pinto
170,23,Colombia,San Pedro
170,506,Colombia,Talagante
170,106,Colombia,El Monte
170,143,Colombia,Isla de Maipo
170,617,Colombia,Padre Hurtado
170,499,Colombia,Peñaflor
332,2188,Haití,Santiago
332,4057,Haití,Cerrillos
332,1664,Haití,Cerro Navia
332,1087,Haití,Conchalí
332,1792,Haití,El Bosque
332,2854,Haití,Estación Central
332,318,Haití,Huechuraba
332,833,Haití,Independencia
332,539,Haití,La Cisterna
332,1050,Haití,La Florida
332,763,Haití,La Granja
332,1206,Haití,La Pintana
332,117,Haití,La Reina
332,39,Haití,Las Condes
332,68,Haití,Lo Barnechea
332,2305,Haití,Lo Espejo
332,661,Haití,Lo Prado
332,202,Haití,Macul
332,3150,Haití,Maipú
332,89,Haití,Ñuñoa
332,2364,Haití,Pedro Aguirre Cerda
332,681,Haití,Peñalolén
332,42,Haití,Providencia
332,936,Haití,Pudahuel
332,8069,Haití,Quilicura
332,1183,Haití,Quinta Normal
332,1637,Haití,Recoleta
332,1428,Haití,Renca
332,495,Haití,San Joaquín
332,275,Haití,San Miguel
332,736,Haití,San Ramón
332,10,Haití,Vitacura
332,2695,Haití,Puente Alto
332,30,Haití,Pirque
332,43,Haití,San José de Maipo
332,2150,Haití,Colina
332,2382,Haití,Lampa
332,135,Haití,Tiltil
332,4596,Haití,San Bernardo
332,513,Haití,Buin
332,181,Haití,Calera de Tango
332,666,Haití,Paine
332,1291,Haití,Melipilla
332,60,Haití,Alhué
332,138,Haití,Curacaví
332,22,Haití,María Pinto
332,111,Haití,San Pedro
332,650,Haití,Talagante
332,158,Haití,El Monte
332,98,Haití,Isla de Maipo
332,262,Haití,Padre Hurtado
332,229,Haití,Peñaflor
604,31884,Perú,Santiago
604,2337,Perú,Cerrillos
604,3859,Perú,Cerro Navia
604,6736,Perú,Conchalí
604,1407,Perú,El Bosque
604,8318,Perú,Estación Central
604,1604,Perú,Huechuraba
604,13416,Perú,Independencia
604,1518,Perú,La Cisterna
604,4963,Perú,La Florida
604,1877,Perú,La Granja
604,1963,Perú,La Pintana
604,902,Perú,La Reina
604,3094,Perú,Las Condes
604,2098,Perú,Lo Barnechea
604,937,Perú,Lo Espejo
604,4136,Perú,Lo Prado
604,1970,Perú,Macul
604,3874,Perú,Maipú
604,1974,Perú,Ñuñoa
604,1588,Perú,Pedro Aguirre Cerda
604,5611,Perú,Peñalolén
604,1417,Perú,Providencia
604,3381,Perú,Pudahuel
604,4094,Perú,Quilicura
604,7490,Perú,Quinta Normal
604,15014,Perú,Recoleta
604,3430,Perú,Renca
604,2627,Perú,San Joaquín
604,2290,Perú,San Miguel
604,1293,Perú,San Ramón
604,949,Perú,Vitacura
604,4871,Perú,Puente Alto
604,65,Perú,Pirque
604,36,Perú,San José de Maipo
604,3473,Perú,Colina
604,3241,Perú,Lampa
604,113,Perú,Tiltil
604,2067,Perú,San Bernardo
604,467,Perú,Buin
604,108,Perú,Calera de Tango
604,379,Perú,Paine
604,577,Perú,Melipilla
604,209,Perú,Alhué
604,144,Perú,Curacaví
604,28,Perú,María Pinto
604,136,Perú,San Pedro
604,291,Perú,Talagante
604,105,Perú,El Monte
604,81,Perú,Isla de Maipo
604,485,Perú,Padre Hurtado
604,351,Perú,Peñaflor
862,99601,Venezuela,Santiago
862,2929,Venezuela,Cerrillos
862,3595,Venezuela,Cerro Navia
862,5201,Venezuela,Conchalí
862,5143,Venezuela,El Bosque
862,43642,Venezuela,Estación Central
862,3436,Venezuela,Huechuraba
862,24953,Venezuela,Independencia
862,13544,Venezuela,La Cisterna
862,19899,Venezuela,La Florida
862,4198,Venezuela,La Granja
862,2546,Venezuela,La Pintana
862,1696,Venezuela,La Reina
862,5556,Venezuela,Las Condes
862,1078,Venezuela,Lo Barnechea
862,2017,Venezuela,Lo Espejo
862,3796,Venezuela,Lo Prado
862,10539,Venezuela,Macul
862,13261,Venezuela,Maipú
862,18779,Venezuela,Ñuñoa
862,3337,Venezuela,Pedro Aguirre Cerda
862,6764,Venezuela,Peñalolén
862,3994,Venezuela,Providencia
862,6218,Venezuela,Pudahuel
862,9496,Venezuela,Quilicura
862,18497,Venezuela,Quinta Normal
862,7364,Venezuela,Recoleta
862,4036,Venezuela,Renca
862,7301,Venezuela,San Joaquín
862,28786,Venezuela,San Miguel
862,2743,Venezuela,San Ramón
862,638,Venezuela,Vitacura
862,11228,Venezuela,Puente Alto
862,120,Venezuela,Pirque
862,329,Venezuela,San José de Maipo
862,4198,Venezuela,Colina
862,8176,Venezuela,Lampa
862,331,Venezuela,Tiltil
862,7624,Venezuela,San Bernardo
862,2635,Venezuela,Buin
862,225,Venezuela,Calera de Tango
862,1360,Venezuela,Paine
862,2666,Venezuela,Melipilla
862,166,Venezuela,Alhué
862,541,Venezuela,Curacaví
862,119,Venezuela,María Pinto
862,119,Venezuela,San Pedro
862,1963,Venezuela,Talagante
862,330,Venezuela,El Monte
862,351,Venezuela,Isla de Maipo
862,2805,Venezuela,Padre Hurtado
862,1414,Venezuela,Peñaflor
